name,author,quantity,genre,language,description,due_date
1984,George Orwell,0,Dystopian,English,A man rebels against a totalitarian state that watches everything.,2026-10-25
Brave New World,Aldous Huxley,2,Dystopian,English,A future society kept docile through pleasure and conditioning.,
Fahrenheit 451,Ray Bradbury,5,Dystopian,English,A fireman whose job is burning books starts to question it.,
The Handmaid's Tale,Margaret Atwood,1,Dystopian,English,A woman's life under a theocratic regime that controls fertility.,
To Kill a Mockingbird,Harper Lee,2,Classic,English,A lawyer defends a Black man in the segregated American South.,
Pride and Prejudice,Jane Austen,1,Romance,English,Elizabeth Bennet and Mr Darcy overcome first impressions.,
Jane Eyre,Charlotte Bronte,5,Classic,English,An orphaned governess finds love and independence.,
Wuthering Heights,Emily Bronte,4,Classic,English,A destructive passion spans two generations on the Yorkshire moors.,
The Great Gatsby,F. Scott Fitzgerald,1,Classic,English,A mysterious millionaire chases a lost love in the Jazz Age.,
Moby-Dick,Herman Melville,2,Adventure,English,A captain's obsessive hunt for a white whale.,
Frankenstein,Mary Shelley,3,Horror,English,A scientist creates life and is haunted by the result.,
Dracula,Bram Stoker,3,Horror,English,A group hunts a vampire who has come to England.,
The Hobbit,J.R.R. Tolkien,1,Fantasy,English,A reluctant hobbit joins dwarves on a quest for treasure.,
The Fellowship of the Ring,J.R.R. Tolkien,5,Fantasy,English,Frodo sets out to destroy a ring of terrible power.,
Harry Potter and the Philosopher's Stone,J.K. Rowling,4,Fantasy,English,A boy learns he is a wizard and starts at Hogwarts.,
A Game of Thrones,George R.R. Martin,4,Fantasy,English,Noble families fight for control of the Iron Throne.,
The Name of the Wind,Patrick Rothfuss,5,Fantasy,English,A legendary figure tells the true story of his youth.,
Dune,Frank Herbert,3,Science Fiction,English,A noble heir becomes a leader on a desert planet.,
Foundation,Isaac Asimov,1,Science Fiction,English,Scientists plan to shorten a coming galactic dark age.,
Neuromancer,William Gibson,3,Science Fiction,English,A washed-up hacker is hired for one last job.,
The Martian,Andy Weir,2,Science Fiction,English,An astronaut stranded on Mars must engineer his survival.,
Project Hail Mary,Andy Weir,4,Science Fiction,English,A lone astronaut wakes up with a mission to save Earth.,
Ender's Game,Orson Scott Card,2,Science Fiction,English,A gifted child is trained to fight an alien war.,
The Hitchhiker's Guide to the Galaxy,Douglas Adams,3,Science Fiction,English,An ordinary man travels the galaxy after Earth is demolished.,
Murder on the Orient Express,Agatha Christie,1,Mystery,English,Poirot investigates a killing on a snowbound train.,
And Then There Were None,Agatha Christie,2,Mystery,English,Ten strangers on an island are killed one by one.,
The Hound of the Baskervilles,Arthur Conan Doyle,2,Mystery,English,Holmes investigates a family curse on the moors.,
Gone Girl,Gillian Flynn,3,Thriller,English,A wife vanishes and her husband becomes the suspect.,
The Girl with the Dragon Tattoo,Stieg Larsson,5,Thriller,English,A journalist and a hacker investigate a decades-old disappearance.,
The Da Vinci Code,Dan Brown,1,Thriller,English,A symbologist follows clues hidden in famous artworks.,
The Silence of the Lambs,Thomas Harris,3,Thriller,English,An FBI trainee seeks help from an imprisoned killer.,
The Shining,Stephen King,1,Horror,English,A family is snowed in at a haunted hotel.,
It,Stephen King,2,Horror,English,Friends confront an evil that feeds on their town's children.,
The Catcher in the Rye,J.D. Salinger,4,Classic,English,A teenager drifts through New York after leaving school.,
Of Mice and Men,John Steinbeck,4,Classic,English,Two migrant workers share a dream of owning land.,
The Grapes of Wrath,John Steinbeck,2,Classic,English,A family flees the Dust Bowl for California.,
Lord of the Flies,William Golding,5,Classic,English,Stranded schoolboys descend into savagery.,
Animal Farm,George Orwell,5,Classic,English,"Farm animals overthrow their owner, then their own leaders.",
The Road,Cormac McCarthy,2,Dystopian,English,"A father and son cross a burned, dying America.",
Never Let Me Go,Kazuo Ishiguro,1,Science Fiction,English,Former classmates slowly understand the purpose of their lives.,
The Remains of the Day,Kazuo Ishiguro,1,Literary Fiction,English,An English butler reflects on a lifetime of service.,
Beloved,Toni Morrison,4,Literary Fiction,English,A formerly enslaved woman is haunted by her past.,
The Kite Runner,Khaled Hosseini,4,Literary Fiction,English,A man returns to Afghanistan to atone for a betrayal.,
Life of Pi,Yann Martel,5,Adventure,English,A boy survives at sea in a lifeboat with a tiger.,
The Book Thief,Markus Zusak,1,Historical Fiction,English,A girl in Nazi Germany steals books and shares them.,
All the Light We Cannot See,Anthony Doerr,5,Historical Fiction,English,A blind French girl and a German boy in wartime.,
The Alchemist,Paulo Coelho,3,Literary Fiction,English,A shepherd travels in search of a hidden treasure.,
Sapiens,Yuval Noah Harari,2,History,English,A short history of humankind from the Stone Age to today.,
"Thinking, Fast and Slow",Daniel Kahneman,3,Psychology,English,How two modes of thinking shape our decisions.,
Atomic Habits,James Clear,2,Self-help,English,Small daily changes that add up to big results.,
A Brief History of Time,Stephen Hawking,1,Science,English,"The universe, black holes and time explained simply.",
The Selfish Gene,Richard Dawkins,3,Science,English,Evolution explained from the point of view of genes.,
Educated,Tara Westover,5,Memoir,English,A woman raised off-grid teaches herself and reaches university.,
Becoming,Michelle Obama,2,Memoir,English,The former First Lady on her life and career.,
Clean Code,Robert C. Martin,5,Technology,English,"Practical rules for writing readable, maintainable code.",
The Pragmatic Programmer,David Thomas; Andrew Hunt,5,Technology,English,Habits and advice for working software developers.,
Don Quijote de la Mancha,Miguel de Cervantes,5,Classic,Spanish,Un hidalgo enloquece leyendo novelas de caballerias.,
Cien años de soledad,Gabriel Garcia Marquez,1,Magical Realism,Spanish,Siete generaciones de la familia Buendia en Macondo.,
El amor en los tiempos del cólera,Gabriel Garcia Marquez,3,Romance,Spanish,Un hombre espera medio siglo por la mujer que ama.,
La sombra del viento,Carlos Ruiz Zafon,5,Mystery,Spanish,Un chico investiga a un autor olvidado en Barcelona.,
La casa de los espíritus,Isabel Allende,1,Magical Realism,Spanish,La historia de una familia chilena a lo largo del siglo.,
Rayuela,Julio Cortazar,1,Literary Fiction,Spanish,Una novela que se puede leer en varios ordenes.,
Pedro Páramo,Juan Rulfo,5,Literary Fiction,Spanish,Un hombre busca a su padre en un pueblo de fantasmas.,
La casa de Bernarda Alba,Federico Garcia Lorca,2,Drama,Spanish,Una madre encierra a sus hijas tras quedar viuda.,
Nada,Carmen Laforet,5,Literary Fiction,Spanish,Una joven llega a la Barcelona de la posguerra.,
El túnel,Ernesto Sabato,2,Psychological,Spanish,Un pintor confiesa desde la carcel un crimen pasional.,
Patria,Fernando Aramburu,2,Historical Fiction,Spanish,Dos familias vascas divididas por el terrorismo de ETA.,
La catedral del mar,Ildefonso Falcones,4,Historical Fiction,Spanish,Un siervo prospera en la Barcelona medieval.,
El nombre de la rosa,Umberto Eco,3,Mystery,Spanish,Un monje investiga muertes en una abadia medieval.,
Los pilares de la Tierra,Ken Follett,5,Historical Fiction,Spanish,La construccion de una catedral en la Inglaterra medieval.,
Ficciones,Jorge Luis Borges,2,Short Stories,Spanish,"Relatos sobre laberintos, espejos y bibliotecas infinitas.",
Crónica de una muerte anunciada,Gabriel Garcia Marquez,1,Literary Fiction,Spanish,Todo el pueblo sabe que van a matar a Santiago Nasar.,
El Principito,Antoine de Saint-Exupery,2,Children,Spanish,Un piloto conoce a un pequeno principe de otro planeta.,
Manolito Gafotas,Elvira Lindo,1,Children,Spanish,Las aventuras de un nino de Carabanchel.,
Sapiens: De animales a dioses,Yuval Noah Harari,2,History,Spanish,Breve historia de la humanidad.,
Mecanoscrit del segon origen,Manuel de Pedrolo,3,Science Fiction,Catalan,Dos joves sobreviuen a la destruccio de la humanitat.,
La plaça del Diamant,Merce Rodoreda,3,Literary Fiction,Catalan,La vida de la Colometa a la Barcelona de la guerra.,
Solitud,Victor Catala,2,Literary Fiction,Catalan,Una dona viu aillada en una ermita de muntanya.,
Terra baixa,Angel Guimera,5,Drama,Catalan,Un pastor baixa de la muntanya i descobreix l'engany.,
Pa negre,Emili Teixidor,2,Historical Fiction,Catalan,Un nen creix a la Catalunya rural de la postguerra.,
Jo confesso,Jaume Cabre,4,Literary Fiction,Catalan,Un home repassa la seva vida i la historia d'un violi.,
Canto jo i la muntanya balla,Irene Sola,4,Literary Fiction,Catalan,Veus humanes i no humanes dels Pirineus.,
L'home que plantava arbres,Jean Giono,4,Short Stories,Catalan,Un pastor reforesta tot sol una vall erma.,
